"DateTime","CalibValid","Observed","local","local_bfs","all_ws","all_ws_attr","all_ws_bfs","all_ws_bfs_attr"
"2019-08-07","Valid",1.3999999,1.343227,1.3832946,1.3318639,1.2978106,1.3445085,1.3213778
"2019-08-08","Valid",1.3899999,1.3489606,1.4078214,1.38061,1.326749,1.5080749,1.3884271
"2019-08-13","Valid",1.3899999,1.3015579,1.3230801,1.3663616,1.2781599,1.7400405,1.2792654
"2019-08-14","Valid",1.4499998,1.5571477,1.5194647,1.5121007,1.4774067,1.9744898,1.3435984
"2019-08-15","Valid",1.4599999,1.6349216,1.5873792,1.5954788,1.1032723,1.6589737,1.0950576
"2019-08-16","Valid",1.4399998,1.5232122,1.5554645,1.5666726,1.1838725,1.643605,1.0530622
"2019-08-17","Valid",1.4399998,1.4367732,1.5667326,1.592932,1.2603165,1.7285041,1.2864826
"2019-08-18","Valid",1.4699998,1.5176404,1.5771337,1.5543504,1.4034716,1.2846375,1.273791
"2019-08-19","Valid",1.4999999,1.5510108,1.6266991,1.5404611,1.2695997,1.7498858,1.1473172
"2019-08-20","Valid",1.5299999,1.4945316,1.5924777,1.4836705,1.2966942,1.7358787,1.3464602
"2019-08-21","Valid",1.4399998,1.4564221,1.5834355,1.4511359,1.2839353,1.6496193,1.299876
"2019-08-22","Valid",1.4599999,1.5005026,1.6249104,1.4571276,1.3420296,1.5073125,1.4078181
"2019-08-23","Valid",1.5299999,1.4792781,1.6014034,1.3844409,1.2993357,1.4415449,1.2920134
"2019-08-24","Valid",1.4899999,1.4243002,1.5646865,1.1864274,1.3102939,1.5667572,1.368669
"2019-08-25","Valid",1.4699998,1.362763,1.5112971,1.346026,1.3093321,1.6665916,1.3142838
"2019-08-26","Valid",1.4799999,1.3050199,1.4444525,1.1420234,1.3000817,1.6679031,1.2973919
"2019-08-27","Valid",1.4699998,1.2952228,1.4033732,1.2919989,1.2759912,1.635248,1.2592216
"2019-08-28","Valid",1.5099999,1.36076,1.4758253,1.2742566,1.2920514,1.6425819,1.2648854
"2019-08-29","Valid",1.4599999,1.348676,1.4712327,1.1285672,1.2770116,1.5953698,1.2378614
"2019-08-30","Valid",1.4499998,1.3076613,1.4547311,1.1887984,1.286828,1.6305517,1.2763896
"2019-08-31","Valid",1.4599999,1.2514346,1.358732,1.2286932,1.214532,1.5659807,1.1659764
"2019-09-01","Valid",1.4699998,1.2310984,1.3690829,1.2720964,1.2756927,1.5561123,1.2555934
"2019-09-02","Valid",1.4599999,1.2132552,1.3349042,1.2362032,1.2287712,1.5513955,1.150463
"2019-09-03","Valid",1.4699998,1.2144185,1.3628807,1.337508,1.2480465,1.5532637,1.195654
"2019-09-04","Valid",1.4699998,1.2074286,1.3352478,1.3139563,1.1874471,1.5541894,1.1237351
"2019-09-05","Valid",1.5199999,1.3658907,1.3984225,1.3437777,1.2965174,1.4915187,1.3513331
"2019-09-06","Valid",1.4899999,1.3557944,1.43009,1.360353,1.2933342,1.4965659,1.0449439
"2019-09-07","Valid",1.55,1.2730519,1.4181116,1.4271137,1.2760993,1.5223212,1.1981673
"2019-09-08","Valid",1.5099999,1.2208343,1.4021242,1.4508343,1.306896,1.4925268,1.2118421
"2019-09-09","Valid",1.5299999,1.1863859,1.3562734,1.4275591,1.2353019,1.1449678,1.1210909
"2019-09-10","Valid",1.5199999,1.2198662,1.4291592,1.5172715,1.321186,1.4640473,1.277742
"2019-10-10","Valid",1.4199998,1.4079754,1.658627,2.0088837,1.2645094,1.8096797,1.6522527
"2019-10-11","Valid",1.4099998,1.4079885,1.5777298,1.9859936,1.2244251,1.8236057,1.5872657
"2019-10-12","Valid",1.3899999,1.4224994,1.5435015,1.9442929,1.2577044,1.8115218,1.5545015
"2019-10-13","Valid",1.3899999,1.6931832,1.7027537,1.9534812,1.4460295,1.6917651,1.7286886
"2019-10-14","Valid",1.4299998,1.7942004,1.8707323,1.9548138,1.3048803,1.8052077,1.4055285
"2019-10-15","Valid",1.4299998,1.6798152,1.6916256,1.9525733,1.2290976,1.7916528,1.2457597
"2019-10-16","Valid",1.4099998,1.5957031,1.5449657,1.9349841,1.2149142,1.7388946,1.5234036
"2019-10-17","Valid",1.4099998,1.53579,1.3358607,1.8851278,1.1433858,1.6941495,1.579577
"2019-10-18","Valid",1.4099998,1.5212908,1.2981368,1.9171839,1.1838523,1.6354891,1.6147339
"2019-10-19","Valid",1.4299998,1.5152214,1.2637304,1.9266783,1.1842641,1.6219226,1.5941441
"2019-10-20","Valid",1.4199998,1.5151532,1.1831455,1.8864095,1.1573687,1.650877,1.5016026
"2019-10-21","Valid",1.4199998,1.5125861,1.138317,1.7687583,1.1971741,1.711721,1.4196501
"2019-10-22","Valid",1.3899999,1.5342293,1.2623538,1.705829,1.2689245,1.7732099,1.5068402
"2019-10-23","Valid",1.4299998,1.6671679,1.4433534,1.6815364,1.4789011,1.7186906,1.7578468
"2019-10-24","Valid",1.4299998,1.758166,1.6135976,1.6544892,1.3636734,1.752466,1.6353703
"2019-10-25","Valid",1.3799999,1.7299464,1.4791555,1.5876026,1.3692319,1.7515515,1.5877737
"2019-10-26","Valid",1.3999999,1.7359439,1.4613233,1.5708209,1.3849866,1.7418551,1.5699079
"2019-10-27","Valid",1.3699999,1.7626113,1.4188137,1.5633936,1.4339375,1.714692,1.703006
"2019-10-28","Valid",1.6699998,2.3184195,1.7837512,1.7866911,1.771516,2.199797,2.5839503
"2019-10-29","Valid",2.1499999,2.9416566,2.4297886,1.8776487,2.0279815,2.3901353,2.9360442
"2019-10-30","Valid",2.33,3.3361073,2.5749896,1.95738,2.2055576,2.4317255,3.0319252
"2019-10-31","Valid",1.9599999,3.5634263,2.6016712,2.0812528,2.2034419,2.405717,3.1196408
"2019-11-01","Valid",2.26,3.9096065,2.8557372,2.2817223,2.508987,2.6503386,3.0785105
"2019-11-02","Valid",3.46,4.185703,3.2756386,2.6394217,3.2999105,2.9501605,4.0341225
"2019-11-03","Valid",4.08,3.9486122,3.4315457,3.0341756,3.7369087,2.9878554,4.2947664
"2019-11-04","Valid",3.2599998,3.5375338,3.2551131,3.2187328,3.593439,2.9118836,4.0526032
"2019-11-05","Valid",2.58,3.078788,2.8678613,3.1854897,2.8491993,2.823362,3.455248
"2019-11-06","Valid",2.2399998,2.6791148,2.5273213,3.0290565,2.4166925,2.7240548,2.8249102
"2019-11-07","Valid",2.05,2.4537756,2.3900785,2.8336186,2.3011775,2.6302228,2.628589
