"Model","RMSE_Calib","NSE_Calib","MI_Calib","RMSE_Valid","NSE_Valid","MI_Valid","Site"
"all_ws",0.238830773410567,-0.658943034878016,0.158474848340761,0.274658382798086,-0.663816213834198,0.262009148765722,"01408500"
"all_ws_attr",0.0655945195806216,0.874862920635618,0.46864007347942,0.0727619132303224,0.88323092091328,0.500835274531026,"01408500"
"all_ws_bfs",0.202269304895451,-0.189901103644054,0.129666235899372,0.268307480132973,-0.587761240668328,0.2376007344721,"01408500"
"all_ws_bfs_attr",0.0579052238296185,0.902481639160986,0.517794588673697,0.0712029776576327,0.888180911745322,0.490996549451324,"01408500"
"local",0.0629487091034423,0.884754345110592,0.489107724084261,0.0929552002770489,0.809424522394364,0.446672735262171,"01408500"
"local_bfs",0.0634831236156433,0.882789240929146,0.484337897737415,0.0867755309903733,0.833921201330441,0.491526375625469,"01408500"
"all_ws",0.183952930634794,-0.188974849233981,0.108840944262066,0.251403696926979,-0.932291988524444,0.222024439466655,"01463500"
"all_ws_attr",0.0827332165606012,0.759497793847669,0.327055380704684,0.124105611420473,0.529117803311159,0.34532012760272,"01463500"
"all_ws_bfs",0.142636258489434,0.285143085637253,0.161232064340156,0.26739089255619,-1.18586157430282,0.218698141074285,"01463500"
"all_ws_bfs_attr",0.0981066688876553,0.661813470091947,0.275715595352606,0.174263172068979,0.0715881736354941,0.335725702819875,"01463500"
"local",0.080037119359846,0.774917285312076,0.33550313478529,0.169771574357151,0.11883064329371,0.318349118091906,"01463500"
"local_bfs",0.0738502210438578,0.808370288954855,0.364843615058028,0.167345854886169,0.143831288359139,0.281746329227503,"01463500"
"all_ws",0.29326788071479,0.396403220964729,0.190015469780489,0.383088813949403,0.0674454557891787,0.231202241101036,"01646500"
"all_ws_attr",0.148993040306942,0.84420630537297,0.410088939125541,0.212164609448452,0.713963677833308,0.349496428018773,"01646500"
"all_ws_bfs",0.231001454417871,0.625503864418142,0.255207804640069,0.42858104723509,-0.167189102864071,0.212200985850187,"01646500"
"all_ws_bfs_attr",0.151077336807559,0.8398169521056,0.39126698534871,0.244731293966624,0.619412680972042,0.341420574998515,"01646500"
"local",0.128537476397135,0.884048211942079,0.443230285513157,0.225436700345662,0.677057993611231,0.314810731824813,"01646500"
"local_bfs",0.122075509232258,0.895413651307369,0.466362823734331,0.26177777303108,0.56454744968636,0.30671963816304,"01646500"
"all_ws",1.3470368235109,0.709483207113736,0.300465806832465,1.69472822967305,0.612588182704041,0.32315444867772,"03339000"
"all_ws_attr",1.06797197756083,0.817386861777073,0.409174128885459,1.39974564522858,0.735715929862568,0.365929368326891,"03339000"
"all_ws_bfs",1.1871385330529,0.774360510313476,0.343876682926136,2.20392849058892,0.344809284090526,0.30567113557245,"03339000"
"all_ws_bfs_attr",0.778930908598627,0.902857297854276,0.480049658121969,1.44856399782028,0.716959807537513,0.389479842941589,"03339000"
"local",0.990614601240114,0.842883514796477,0.414294268238969,1.27483215166556,0.780780717238163,0.431400456961227,"03339000"
"local_bfs",0.865522772176709,0.880058547835613,0.44674630532415,1.23825459812123,0.793179951680032,0.39340020200016,"03339000"
"all_ws",1.62924387295462,0.451871872124594,0.183259373035554,1.36753470529426,0.180474471609788,0.245681819421212,"03346500"
"all_ws_attr",0.877359003522051,0.841048521994026,0.420236784380796,1.0086213584291,0.554197916257705,0.370291613274339,"03346500"
