"DateTime","CalibValid","Observed","local","local_bfs","all_ws","all_ws_attr","all_ws_bfs","all_ws_bfs_attr"
"2019-09-25","Valid",0.6000001,0.56399846,0.6681813,0.37819916,0.39376825,0.47003722,0.5644823
"2019-09-26","Valid",0.50000006,0.54359573,0.626019,0.3547712,0.39884245,0.5035276,0.5766177
"2019-09-27","Valid",0.50000006,0.52252924,0.5849445,0.3471992,0.40086168,0.5253325,0.599923
"2019-09-28","Valid",0.4000001,0.48334974,0.53373843,0.2532813,0.4450783,0.44281363,0.57635164
"2019-09-29","Valid",0.50000006,0.45840174,0.48353744,0.25669527,0.47253728,0.49960697,0.57759964
"2019-09-30","Valid",0.4000001,0.43639904,0.44045657,0.2503233,0.45077235,0.5084678,0.5588132
"2019-10-01","Valid",0.4000001,0.41588068,0.42860907,0.22057998,0.47353947,0.47651458,0.5033991
"2019-10-02","Valid",0.50000006,0.4022987,0.39450854,0.22978002,0.40786833,0.4917885,0.4811632
"2019-10-03","Valid",0.50000006,0.39342368,0.39330953,0.25803697,0.41614622,0.48736984,0.43929577
"2019-10-04","Valid",0.50000006,0.39157575,0.38615954,0.3024084,0.39143956,0.5196852,0.42482978
"2019-10-05","Valid",0.4000001,0.4178605,0.47243416,0.42915577,0.5760021,0.58600116,0.4385761
"2019-10-06","Valid",0.4000001,0.42172098,0.51085275,0.3953026,0.61371446,0.5970193,0.5230297
"2019-10-07","Valid",0.4000001,0.48026282,0.57590336,0.63565636,0.68663764,0.67278785,0.6733197
"2019-10-08","Valid",0.4000001,0.5261879,0.6409236,0.64075506,0.6499057,0.63513875,0.7489552
"2019-10-09","Valid",0.4000001,0.5270607,0.66848576,0.72411156,0.67555666,0.65276814,0.74200416
"2019-10-10","Valid",0.4000001,0.49881214,0.6690159,0.73702425,0.6383686,0.66532516,0.7400214
"2019-10-11","Valid",0.50000006,0.45410848,0.5976854,0.7217696,0.52755576,0.7265304,0.6843269
"2019-10-12","Valid",0.50000006,1.0941329,1.2335925,0.68136716,0.86703867,0.78000844,1.416395
"2019-10-13","Valid",0.70000005,1.1571946,1.43838,0.7854594,0.9365788,0.72947407,1.3576782
"2019-10-14","Valid",0.6000001,1.0273243,1.4539384,0.7758546,0.8677214,0.50465876,1.0625572
"2019-10-15","Valid",0.70000005,0.85951984,1.3868308,0.7162807,0.7785221,0.8583927,0.9221969
"2019-10-16","Valid",0.70000005,0.70171684,1.2164335,0.7651951,0.70187545,0.89032656,0.8563664
"2019-10-17","Valid",0.70000005,0.56387234,0.997606,0.71930593,0.6165314,0.8299229,0.7720791
"2019-10-18","Valid",1.1,0.4622724,0.79717815,0.6232857,0.5936129,0.7853987,0.72459614
"2019-10-19","Valid",1,0.37325108,0.63160634,0.6426455,0.54956037,0.7433314,0.6799928
"2019-10-20","Valid",0.9000001,0.31082445,0.5071038,0.59901834,0.52775085,0.696414,0.6540537
"2019-10-21","Valid",0.8000001,0.2839818,0.4235595,0.5661767,0.5066623,0.74186134,0.6442363
"2019-10-22","Valid",0.70000005,0.42609197,0.48794067,0.546791,0.47216552,0.6937027,0.80324155
"2019-10-23","Valid",0.70000005,0.39935046,0.44921833,0.482072,0.47635502,0.6896987,0.73623323
"2019-10-24","Valid",0.6000001,0.3641997,0.39140558,0.47886062,0.44765472,0.5703277,0.6705531
"2019-10-25","Valid",0.6000001,0.34155262,0.33834833,0.4664967,0.458772,0.68373513,0.6437367
"2019-10-26","Valid",0.6000001,0.45525402,0.4188553,0.49929905,0.49474448,0.65222114,0.7453963
"2019-10-27","Valid",1,0.45059448,0.4417807,0.45036477,0.49435127,0.7247743,0.707749
"2019-10-28","Valid",1.8,1.3389344,1.0959109,0.7104453,1.0732399,1.3718605,1.9019412
"2019-10-29","Valid",1.9000001,1.2748002,1.2422739,0.96279144,1.2917793,1.6720004,2.087208
"2019-10-30","Valid",1.4000001,1.149053,1.163775,1.1613812,1.1318028,1.6574068,1.8452146
"2019-10-31","Valid",1.1,1.1731958,1.0913786,1.3746989,1.2749634,1.6570373,1.6862528
"2019-11-01","Valid",1.1,1.3129879,1.1335685,1.4931179,1.3472971,1.7009888,1.6403027
"2019-11-02","Valid",1.2,1.1370964,0.98296356,1.5404452,1.2762394,1.7807019,1.403824
"2019-11-03","Valid",1.1,0.9794601,0.80122423,1.5139465,1.177959,1.763811,1.135106
"2019-11-04","Valid",1,0.82580173,0.67619514,1.4147763,1.0985311,1.6773627,0.9075706
"2019-11-05","Valid",0.9000001,0.6875597,0.58657,1.2689859,1.0058832,1.5338347,0.69063485
"2019-11-06","Valid",0.9000001,0.655749,0.56985253,1.1436391,0.8653976,1.3836807,0.62511164
"2019-11-07","Valid",0.8000001,0.5598219,0.54319835,1.0716833,0.7961833,1.3706734,0.57877314
"2019-11-08","Valid",0.8000001,0.6706944,0.64073646,1.0307779,0.8027146,1.308909,0.69384325
"2019-11-09","Valid",0.70000005,0.5537657,0.61450255,1.0497212,0.66317844,1.4979789,0.6348009
"2019-11-10","Valid",0.70000005,0.53695816,0.6442207,1.0160216,0.7350855,1.2274309,0.5945965
"2019-11-11","Valid",0.8000001,0.55317086,0.68501115,0.9345438,0.78752756,1.5014551,0.54539233
"2019-11-12","Valid",0.8000001,0.49289733,0.6069554,0.9592366,0.6139385,1.7081977,0.5391048
"2019-11-13","Valid",0.8000001,0.49864864,0.578651,1.053606,0.56121415,1.9644189,0.5812862
"2019-11-14","Valid",0.8000001,0.4270634,0.58670974,1.1479653,0.58645165,2.099461,0.5224995
"2019-11-15","Valid",0.8000001,0.48140955,0.6034562,1.1549511,0.6111867,2.1024675,0.497531
"2019-11-16","Valid",0.8000001,0.4948262,0.607687,1.1608146,0.6105982,2.1415606,0.49601853
"2019-11-17","Valid",0.8000001,0.5246484,0.60385823,1.1406956,0.60674554,2.1362844,0.49678367
"2019-11-18","Valid",0.8000001,0.556361,0.61043656,1.1166723,0.6161064,2.146112,0.5092469
"2019-11-19","Valid",0.8000001,0.6100849,0.6349907,1.072314,0.64044416,2.113235,0.5284933
"2019-11-20","Valid",0.8000001,0.6814831,0.69638693,1.0131438,0.70148504,2.063317,0.558231
"2019-11-21","Valid",0.70000005,0.6713902,0.7325276,1.0066462,0.709677,2.0979404,0.5837333
"2019-11-22","Valid",0.8000001,0.9455047,0.9481964,1.0049257,0.85340166,1.8780506,0.8283137
"2019-11-23","Valid",0.9000001,0.9897933,1.0447854,1.0205358,0.7851376,1.9096956,0.8401309
"2019-11-24","Valid",0.8000001,1.0032085,1.0516074,1.0170717,0.731996,1.9058694,0.83171344
"2019-11-25","Valid",0.8000001,0.93087876,1.0387219,0.9727859,0.76081824,1.9397993,0.79523057
"2019-11-26","Valid",0.8000001,0.8612116,0.97370505,0.93407714,0.7365122,1.9070394,0.7281525
"2019-11-27","Valid",0.8000001,0.8250195,0.9109859,0.9256375,0.7337725,1.8129456,0.71136355
"2019-11-28","Valid",1.1,1.2194324,1.2027757,1.0140454,1.0675111,1.6399755,1.1088957
"2019-11-29","Valid",1.2,1.1276264,1.2111824,1.1733332,1.0011535,1.6390513,1.1637918
"2019-11-30","Valid",1.2,1.0948461,1.1600392,1.2432168,0.898548,1.5918022,1.1574278
"2019-12-01","Valid",1.2,1.9904888,1.8524175,1.7254522,1.8475875,1.508524,1.9068539
"2019-12-02","Valid",1.1,1.952178,2.0379412,1.9102775,1.8774621,1.7626921,1.8548024
"2019-12-03","Valid",1.1,1.6317208,1.8936617,1.9088881,1.4673603,1.70049,1.4774173
"2019-12-04","Valid",1,1.3271598,1.6667454,1.8852566,1.3939726,1.9895272,1.2731544
"2019-12-05","Valid",1,1.0960544,1.4018908,1.8105398,1.4270356,1.8286288,1.1077484
"2019-12-06","Valid",1,0.91307795,1.1666653,1.7429414,1.3869641,1.511564,1.0104103
"2019-12-07","Valid",1,0.74196935,0.94267553,1.607275,1.2475199,1.4461108,0.92111814
"2019-12-08","Valid",1,0.60088885,0.76244724,1.4606252,1.0617461,1.4553102,0.7668348
"2019-12-09","Valid",1,0.55473053,0.6434838,1.3265774,1.001718,1.3182317,0.438753
"2019-12-10","Valid",0.9000001,0.51928663,0.57754546,1.2365127,0.9781256,1.4168017,0.25921297
"2019-12-11","Valid",0.9000001,0.46378,0.52021587,1.2020983,0.9368966,1.3646252,0.25896305
"2019-12-12","Valid",0.9000001,0.4201451,0.46998334,1.1880176,0.87678033,1.2210368,0.2897339
"2019-12-13","Valid",0.9000001,0.43479842,0.46550733,1.1896031,0.82403445,1.2140598,0.33960634
"2019-12-14","Valid",0.9000001,0.44571692,0.46639252,1.202745,0.7419869,1.3314146,0.39340788
"2019-12-15","Valid",0.9000001,0.4551469,0.47129774,1.219166,0.67163205,1.507241,0.45349193
"2019-12-16","Valid",0.9000001,0.45437646,0.46878964,1.2501639,0.60260504,1.4417615,0.5139769
"2019-12-17","Valid",0.9000001,0.52198404,0.5372018,1.256934,0.6427233,1.2515929,0.6282575
"2019-12-18","Valid",0.9000001,1.0462947,0.87571,1.2760924,1.0641626,1.4376838,1.1418396
"2019-12-19","Valid",0.9000001,0.7961559,0.827306,1.3394485,0.78237176,1.3552451,0.99868387
"2019-12-20","Valid",1,0.6682615,0.7738687,1.3493979,0.76655734,1.5501033,0.8493098
"2019-12-21","Valid",1,0.6124396,0.7286756,1.3524519,0.74021435,1.5077101,0.77830315
"2019-12-22","Valid",1,0.6069118,0.6890578,1.3447616,0.6952955,1.5402367,0.73492956
"2019-12-23","Valid",1,0.6009903,0.6559979,1.334421,0.66082585,1.4860799,0.7191248
"2019-12-24","Valid",1,0.6218575,0.6472179,1.3094194,0.65701365,1.607413,0.736354
"2019-12-25","Valid",1,0.63482034,0.6433427,1.2860589,0.65383905,1.8344582,0.7882895
"2019-12-26","Valid",1.2,0.66048336,0.68466246,1.242125,0.6975404,1.8408072,0.80887634
"2019-12-27","Valid",1.3000001,0.71545756,0.7648197,1.2349344,0.7488315,1.6185356,0.8373211
"2019-12-28","Valid",1.2,0.70363164,0.76118284,1.2529988,0.6950253,1.5860789,0.8617707
"2019-12-29","Valid",1.3000001,0.7038431,0.8184029,1.1896119,0.7593883,1.7631757,0.8972466
"2019-12-30","Valid",1.4000001,1.4160093,1.2984991,1.419555,1.321022,1.6965747,1.4015943
"2019-12-31","Valid",1.5,1.4816625,1.5147452,1.5591971,1.4659154,2.2386618,1.4067475
"2020-01-01","Valid",1.3000001,1.3546772,1.5313009,1.5204152,1.3623388,1.2873427,1.2660707
"2020-01-02","Valid",1.3000001,1.128738,1.4089026,1.4363782,1.2402537,1.2134547,1.1653186
"2020-01-03","Valid",1.2,1.081436,1.3383158,1.4494087,1.3375229,2.125262,1.0765712
"2020-01-04","Valid",1.1,0.9074248,1.1685104,1.3899063,1.2552786,1.6332225,1.0396459
"2020-01-05","Valid",1.1,0.69727814,0.9629623,1.3052549,1.109843,1.2952513,0.98623854
"2020-01-06","Valid",1.1,0.6065866,0.84542,1.2589685,1.079142,1.761811,0.9237869
"2020-01-07","Valid",1.1,0.5139591,0.7465347,1.2350504,1.0227295,1.2009562,0.85069495
"2020-01-08","Valid",1.1,0.46338677,0.68536043,1.2216741,0.9969104,1.3550158,0.83098376
"2020-01-09","Valid",1.1,0.43836194,0.6453639,1.2270393,0.9704755,1.4681869,0.89097357
