"DateTime","CalibValid","Observed","local","local_bfs","all_ws","all_ws_attr","all_ws_bfs","all_ws_bfs_attr"
"2019-02-13","Valid",1.9,2.358522,2.2049885,1.7699845,2.1443276,1.8350195,2.1375792
"2019-02-14","Valid",1.88,2.2527921,2.078464,1.7845355,2.108461,2.0275455,1.9604499
"2019-02-15","Valid",1.9399999,2.1219926,1.9251354,1.7916296,1.9136965,2.0279868,1.8560219
"2019-02-16","Valid",1.97,2.0949535,1.8561605,1.7623453,1.9508055,2.0376236,1.8604714
"2019-02-17","Valid",1.89,2.045898,1.8338685,1.6989868,1.9198979,1.9878533,1.9050698
"2019-02-18","Valid",1.84,1.9847839,1.802743,1.7208439,1.8203063,1.9460074,1.8363128
"2019-02-19","Valid",1.75,1.9471259,1.7777674,1.6999817,1.8377353,1.9284304,1.8253167
"2019-02-20","Valid",1.75,1.8592169,1.7210993,1.7010667,1.7299578,1.9120321,1.7792487
"2019-02-21","Valid",1.68,1.818967,1.6926978,1.6815249,1.7291547,1.9086226,1.7697573
"2019-02-22","Valid",1.71,1.806819,1.6868979,1.6854835,1.7036114,1.8755099,1.7828676
"2019-02-23","Valid",1.72,1.786442,1.673766,1.6795776,1.6773933,1.8563746,1.7751088
"2019-02-24","Valid",1.78,1.7642542,1.6610605,1.6814872,1.6843075,1.8485389,1.7704148
"2019-02-25","Valid",1.96,1.9687668,1.8074881,1.6916094,1.8913404,1.8903371,1.9303515
"2019-02-26","Valid",1.91,1.922889,1.7904744,1.706552,1.9219205,1.9721014,1.93547
"2019-02-27","Valid",1.78,1.8387866,1.7243224,1.6914444,1.822647,1.9143723,1.8043467
"2019-02-28","Valid",1.74,1.792025,1.6905165,1.6848937,1.7238874,1.8695552,1.7930176
"2019-03-01","Valid",1.68,1.7547739,1.6588414,1.6804721,1.6738667,1.8685861,1.7764246
"2019-03-02","Valid",1.65,1.7353463,1.6420358,1.6784776,1.6850432,1.8369805,1.7730764
"2019-03-03","Valid",1.67,1.7050977,1.6217581,1.6752367,1.6275287,1.8432994,1.7363564
"2019-03-04","Valid",1.67,1.6942127,1.6189846,1.673921,1.6140656,1.8276341,1.7428358
"2019-03-05","Valid",1.59,1.6818573,1.5887305,1.68133,1.5406984,1.8258543,1.6718255
"2019-03-06","Valid",1.59,1.6693983,1.5622089,1.6960751,1.5290761,1.7492741,1.6550841
"2019-03-07","Valid",1.5799999,1.6431816,1.5363314,1.7060302,1.5279484,1.7676573,1.6688627
"2019-03-08","Valid",1.6,1.625404,1.515141,1.7135742,1.5457282,1.7405151,1.6599009
"2019-03-09","Valid",1.61,1.6212403,1.5135047,1.7129271,1.5867511,1.7251173,1.6756043
"2019-03-10","Valid",1.73,1.6382769,1.5439311,1.7094696,1.6218565,1.7792234,1.7239364
"2019-03-11","Valid",1.81,2.3837743,2.253027,1.7654837,2.1913338,2.0032265,2.4301686
"2019-03-12","Valid",1.6999999,2.2732868,2.1910305,1.7854517,1.931474,2.046267,2.0056953
"2019-03-13","Valid",1.5799999,2.0153828,1.9381864,1.7549276,1.7755395,2.004046,1.8433928
"2019-03-14","Valid",1.6,1.9081235,1.8039429,1.7251905,1.775975,1.9273639,1.8214312
"2019-03-15","Valid",2.05,2.0905657,1.9109373,1.7436411,1.9560289,1.920919,2.043377
"2019-03-16","Valid",2.22,2.123551,1.9300222,1.7791922,1.9894192,1.7856814,2.1479428
"2019-03-17","Valid",2.1,2.044751,1.9242194,1.7589232,1.8953956,2.057944,2.2585154
"2019-03-18","Valid",1.91,1.8967776,1.8011003,1.7294009,1.8489803,2.031598,2.0337698
"2019-03-19","Valid",1.79,1.8186233,1.7216957,1.7079313,1.7710407,2.011249,1.8969153
"2019-03-20","Valid",1.72,1.7589653,1.6692578,1.691398,1.7470725,1.9630954,1.8271029
"2019-03-21","Valid",1.8,1.7018496,1.6260232,1.6796409,1.6638279,1.7337371,1.7627041
"2019-03-22","Valid",1.8499999,1.8684758,1.7886338,1.7100384,1.7915906,1.936842,1.9764931
"2019-03-23","Valid",1.78,1.7748353,1.7412484,1.7111653,1.7005712,1.9619495,1.8512874
"2019-03-24","Valid",1.6899999,1.6896058,1.6642698,1.6859014,1.7117532,1.943097,1.7799929
"2019-03-25","Valid",1.61,1.6358792,1.6236587,1.6773368,1.5814182,1.8796796,1.7658808
"2019-03-26","Valid",1.5699999,1.6193725,1.6094855,1.6790712,1.5631876,1.8533118,1.7415411
"2019-03-27","Valid",1.5,1.5580031,1.5480847,1.6574277,1.496943,1.8216009,1.6390704
"2019-03-28","Valid",1.48,1.5255556,1.5180165,1.6359041,1.4880294,1.7498991,1.6301476
"2019-03-29","Valid",1.47,1.5282477,1.5351652,1.6243552,1.5187819,1.6633567,1.6181154
"2019-03-30","Valid",1.5,1.5078744,1.555123,1.6370931,1.490473,1.5883411,1.6519259
"2019-03-31","Valid",1.98,1.9501717,2.027032,1.7696131,1.7946857,1.7244995,1.9937426
"2019-04-01","Valid",1.98,1.819346,1.9260163,1.81548,1.8668269,1.9765977,2.0298893
"2019-04-02","Valid",1.78,1.7272357,1.7672188,1.7941558,1.700806,2.0132387,1.8512594
"2019-04-03","Valid",1.63,1.6531485,1.6439962,1.7542968,1.6316546,1.8399202,1.7475147
"2019-04-04","Valid",1.5699999,1.5887642,1.5903912,1.7244108,1.541633,1.6973549,1.6917065
"2019-04-05","Valid",1.54,1.5738289,1.5817239,1.707481,1.5510795,1.6703655,1.6747358
"2019-04-06","Valid",1.55,1.6088765,1.6327392,1.7100545,1.5476642,1.7506549,1.7261814
"2019-04-07","Valid",1.51,1.5247273,1.5887605,1.6938667,1.481714,1.6951325,1.6222299
"2019-04-08","Valid",1.4399999,1.5004374,1.5724118,1.6881542,1.44336,1.7385713,1.6294684
"2019-04-09","Valid",1.3399999,1.4974557,1.5662801,1.6901841,1.4263439,1.6947005,1.6503005
"2019-04-10","Valid",1.39,1.4750624,1.5301343,1.6775244,1.377229,1.6975348,1.5760874
"2019-04-11","Valid",1.38,1.4458922,1.4847791,1.6368583,1.3494434,1.6557903,1.5106068
"2019-04-12","Valid",1.47,1.443805,1.4739687,1.6215652,1.3402779,1.5541193,1.555584
"2019-04-13","Valid",1.51,1.7115505,1.8560107,1.6656758,1.6373601,1.7519102,1.6388906
"2019-04-14","Valid",1.48,1.5646814,1.7217253,1.7530636,1.5439578,1.9257631,1.7009678
"2019-04-15","Valid",1.79,1.5836781,1.6997254,1.777581,1.5721617,1.9203861,1.709657
"2019-04-16","Valid",1.93,1.9726362,2.1385565,1.8516927,2.1234612,2.0648568,2.3093133
"2019-04-17","Valid",1.66,1.7789724,1.8937765,1.9357483,1.731869,2.1279244,1.8873038
"2019-04-18","Valid",1.49,1.6763176,1.7159121,1.9058394,1.5763888,2.0200243,1.806073
"2019-04-19","Valid",1.64,1.7870344,1.7998347,1.8393679,1.6769238,1.9657261,1.9215682
"2019-04-20","Valid",1.6899999,1.8220748,1.8638752,1.8512543,1.8013833,1.963609,1.9793069
"2019-04-21","Valid",1.62,1.6824212,1.7267815,1.8975312,1.664252,2.039331,1.8196896
"2019-04-22","Valid",1.54,1.5840474,1.578857,1.870794,1.5904961,2.004357,1.6771122
"2019-04-23","Valid",1.41,1.5223745,1.5052295,1.8210827,1.4788764,1.9209173,1.6168493
"2019-04-24","Valid",1.4399999,1.5050908,1.4501435,1.781648,1.4582943,1.8189064,1.5827547
"2019-04-25","Valid",1.42,1.5043303,1.4225324,1.7772177,1.4702598,1.7726109,1.5815184
"2019-04-26","Valid",1.4399999,1.472629,1.3978654,1.7651813,1.4492037,1.7076843,1.5653685
"2019-04-27","Valid",1.41,1.4652193,1.3950492,1.7518818,1.4115586,1.6730229,1.5304618
"2019-04-28","Valid",1.49,1.4490926,1.3720437,1.7518867,1.4056257,1.6473539,1.4989598
"2019-04-29","Valid",1.5799999,1.8247954,1.8391247,1.7720041,1.8331652,1.6883904,1.8334025
"2019-04-30","Valid",1.93,1.7360748,1.7668611,1.8644991,1.816053,1.8547784,1.815365
"2019-05-01","Valid",2.29,2.2672977,2.3083296,1.8784696,2.4898422,1.9894326,2.4853745
"2019-05-02","Valid",2.7199998,2.6691113,2.5473895,1.851667,2.4445515,1.9655907,2.6690536
"2019-05-03","Valid",2.45,2.1810126,2.1058471,1.934186,2.2698185,1.9417259,2.4598622
"2019-05-04","Valid",2.18,1.8592561,1.8696132,1.8954625,2.1232765,1.9266722,2.2468972
"2019-05-05","Valid",1.97,1.6448708,1.7055092,1.8607934,1.9044714,1.95861,2.0321872
"2019-05-06","Valid",1.76,1.5187972,1.586154,1.8277564,1.7012013,1.9752672,1.8352424
"2019-05-07","Valid",1.61,1.4165115,1.5138665,1.7844677,1.5018518,1.9812789,1.7027335
"2019-05-08","Valid",1.55,1.3419182,1.4688826,1.7385112,1.4787021,1.9455807,1.636797
"2019-05-09","Valid",1.55,1.343929,1.4934001,1.6878883,1.5010806,1.9550649,1.6793752
"2019-05-10","Valid",1.53,1.3819435,1.6337842,1.6701044,1.5910654,1.8792187,1.7581877
"2019-05-11","Valid",1.56,1.2620919,1.497488,1.738624,1.5298897,1.9538661,1.6608522
"2019-05-12","Valid",1.53,1.2962662,1.4172575,1.7198668,1.4508799,1.9545386,1.546524
"2019-05-13","Valid",1.53,1.2921348,1.3960187,1.6978065,1.4492989,1.9087055,1.5193046
"2019-05-14","Valid",1.8299999,1.4436328,1.5963745,1.6460878,1.8005413,1.9259748,1.7183843
"2019-05-15","Valid",1.74,1.3194077,1.4741093,1.734757,1.6942109,2.0103679,1.7197393
"2019-05-16","Valid",1.6,1.2642744,1.4110179,1.7251313,1.4629902,2.0167685,1.611831
"2019-05-17","Valid",1.48,1.2331669,1.382047,1.6918197,1.4715611,1.9972028,1.5188401
"2019-05-18","Valid",1.53,1.2239916,1.4270164,1.6760737,1.4742278,1.9476953,1.5300162
"2019-05-19","Valid",1.53,1.2277398,1.3985553,1.6983014,1.4261178,1.953521,1.4715679
"2019-05-20","Valid",1.47,1.2106072,1.4181713,1.7132164,1.4308466,1.9131556,1.4799019
"2019-05-21","Valid",1.47,1.2358057,1.4049526,1.6854157,1.4665754,1.8636398,1.4109868
"2019-05-22","Valid",1.52,1.287122,1.4091039,1.6270851,1.5526791,1.7836661,1.3901747
"2019-05-23","Valid",1.63,1.2697127,1.3824257,1.6761476,1.5326084,1.8001237,1.4835641
"2019-05-24","Valid",1.81,1.2700233,1.44104,1.6705719,1.6502745,1.8878934,1.6047813
"2019-05-25","Valid",1.75,1.2684286,1.4755049,1.656242,1.6567035,1.9306921,1.6486222
"2019-05-26","Valid",1.5699999,1.2261482,1.4558921,1.6437875,1.5030394,1.9628243,1.5708141
"2019-05-27","Valid",1.49,1.18226,1.438366,1.6655489,1.4851754,1.931283,1.513407
"2019-05-28","Valid",1.59,1.1863971,1.406739,1.6622403,1.5206846,1.9064093,1.4264385
