"DateTime","CalibValid","Observed","local","local_bfs","all_ws","all_ws_attr","all_ws_bfs","all_ws_bfs_attr"
"2014-11-11","Valid",6.53,5.060774,4.7763896,8.31631,5.996773,5.811125,4.87367
"2014-11-12","Valid",6.4300003,4.7823567,4.567022,8.516889,6.131282,6.5083356,4.9642925
"2014-11-13","Valid",6.38,4.4587135,4.345008,8.767854,6.3277063,7.0193386,5.099874
"2015-04-11","Valid",3.0600002,1.7645159,5.3361907,3.8201885,4.438569,3.5343714,4.3557954
"2015-04-12","Valid",2.93,1.5678699,5.3507566,3.5408382,4.6262484,3.5969672,4.3641853
"2015-04-13","Valid",2.8400002,1.4034216,5.394083,3.6774576,4.814135,3.4042864,3.6498637
"2015-04-14","Valid",3.23,1.8987296,5.784284,4.186977,4.450477,2.8852174,2.7475631
"2015-04-15","Valid",3.0900002,1.6764596,6.1782446,4.0462675,4.2907925,3.200923,4.0308514
"2015-04-16","Valid",2.91,1.4245012,6.3562565,3.9720926,4.8282776,2.988934,3.634924
"2015-04-17","Valid",2.89,1.1543157,6.475844,3.8786092,4.5960364,2.8289437,3.527433
"2015-04-18","Valid",2.7300003,0.89922094,6.5547132,3.7153463,4.415989,2.6829178,3.5119581
"2015-04-19","Valid",2.56,1.1655378,6.7710905,4.064971,4.3948603,2.138023,3.023927
"2015-04-20","Valid",2.9,1.6140008,7.1760845,4.3753657,4.1733613,2.2241747,4.5381527
"2015-04-21","Valid",3.8500001,1.4288514,7.7166147,4.7820873,4.2236304,3.595233,5.7652802
"2015-04-22","Valid",4.9500003,1.2081258,7.830353,5.0157995,5.5966706,4.090264,6.201879
"2015-04-23","Valid",5.02,1.0438476,7.682396,5.107836,5.776334,4.479491,5.938739
"2015-04-24","Valid",4.7200003,0.91695833,7.4057217,5.043666,5.746159,4.7218647,5.4938664
"2015-04-25","Valid",4.7200003,1.5742056,7.2704,5.060457,5.4141183,5.012402,4.9768286
"2015-04-26","Valid",6.8700004,2.254213,7.6054893,5.9821124,5.9438586,6.575608,6.281432
"2015-04-27","Valid",8.08,2.2485218,8.213468,7.628333,8.5463915,8.405516,8.996116
"2015-04-28","Valid",7.54,2.1427453,8.125707,7.9092546,8.739473,8.269965,9.357693
"2015-04-29","Valid",7.08,1.9744983,7.9299526,7.651306,8.578183,7.9482026,8.929634
"2015-04-30","Valid",6.8900003,1.7591603,7.762692,7.333076,8.376375,7.7449374,8.302319
"2015-05-01","Valid",6.7200003,1.5130539,7.4778366,7.1742773,7.9671164,7.8247333,8.001532
"2015-05-02","Valid",6.5200005,1.2889063,7.2120743,6.92644,7.663234,7.7535386,7.584363
"2015-05-03","Valid",6.3500004,1.074255,7.1768622,6.579856,7.6323986,7.5364676,6.8044615
"2015-05-04","Valid",6.11,1.1237125,7.409005,6.4235296,6.911401,7.7679367,6.9143605
"2015-05-05","Valid",7.2700005,2.4832406,7.176449,7.2923784,7.001878,8.445528,7.010868
"2015-05-06","Valid",9.82,4.0736156,9.175927,10.2487,13.284937,10.580904,11.237093
"2015-05-07","Valid",9.139999,5.1489973,10.011864,11.154468,13.629275,11.446619,12.712142
"2015-05-08","Valid",8.43,6.205802,10.182806,10.836515,13.39739,11.542688,12.181026
"2015-05-09","Valid",8.280001,6.989464,10.568886,11.15427,13.869371,12.041761,12.753292
"2015-05-10","Valid",8.41,7.4458704,10.532028,11.085724,13.639206,12.183121,12.48023
"2015-05-14","Valid",8.75,8.348761,9.973563,10.264609,12.488966,12.427101,11.853334
"2015-05-15","Valid",8.39,8.516028,9.756523,9.878899,11.66954,12.192625,11.222475
"2015-05-16","Valid",8.07,8.824869,10.180851,10.08631,11.555838,12.193382,11.137935
"2015-05-17","Valid",8.030001,8.929779,10.345169,9.964184,11.577406,12.116844,10.64978
"2015-05-18","Valid",7.9700003,8.963035,10.343214,9.787533,11.374634,11.966108,10.330399
"2015-05-19","Valid",7.91,8.752787,10.159662,9.834374,11.182241,11.840619,10.608704
