"DateTime","CalibValid","Observed","local","local_bfs","all_ws","all_ws_attr","all_ws_bfs","all_ws_bfs_attr"
"2019-08-06","Valid",2.2,2.9897602,2.1909597,3.6028152,3.2168474,2.836179,2.0818963
"2019-08-07","Valid",2.2,3.0975046,2.1848056,3.6497698,3.334897,2.874379,2.6800985
"2019-08-08","Valid",2.1000001,2.9132051,2.074957,3.6186032,3.321624,2.8102884,2.1195302
"2019-08-09","Valid",2,2.7521825,1.9910579,3.673818,3.1505485,2.82572,2.3745947
"2019-08-10","Valid",2,2.6731737,1.9339745,3.700653,2.9752011,2.7738395,2.0061607
"2019-08-11","Valid",2,2.5261002,1.8367245,3.7410784,2.8890333,2.7491126,2.188738
"2019-08-12","Valid",2.2,2.7620425,1.9290953,3.8640478,3.3521976,2.8907115,2.5307536
"2019-08-13","Valid",2.5,2.8151207,1.9804349,3.8925898,3.4860046,2.8698747,3.0540738
"2019-08-14","Valid",2.4,2.7194347,1.9782016,3.9284313,3.3490496,2.908308,2.383484
"2019-08-15","Valid",2.3,2.608882,1.9704115,3.9154756,3.2045805,2.9178758,2.6557398
"2019-08-16","Valid",2.2,2.5047774,1.9276717,3.8478072,3.0707517,2.9405694,2.627387
"2019-08-17","Valid",2.1000001,2.3208709,1.8027444,3.7218542,2.7306492,2.9371896,2.652119
"2019-08-18","Valid",2,2.1600056,1.7349203,3.713941,2.6323974,2.9516087,2.7245696
"2019-08-19","Valid",2,2.1953835,1.7117755,3.6339974,2.7868245,2.95916,3.0916767
"2019-08-20","Valid",2.1000001,2.0726633,1.6727934,3.4904652,2.520484,2.921914,2.5480244
"2019-08-21","Valid",1.9000001,1.9810238,1.665865,3.4640746,2.5778136,3.0104196,2.2105324
"2019-08-22","Valid",2.6,2.081324,1.7088408,2.4780962,2.7966208,3.076709,3.060787
"2019-08-23","Valid",2.5,2.0755587,1.7369597,3.2755845,2.8893867,3.073413,3.0951877
"2019-08-24","Valid",2.3,2.0400844,1.7368174,3.1558325,2.7441988,3.1180158,3.0706525
"2019-08-25","Valid",2.1000001,2.0068939,1.7238746,3.094974,2.744502,3.1618662,2.9149885
"2019-08-26","Valid",2.1000001,1.9620118,1.7131729,3.1053734,2.4150915,3.2022953,3.0475075
"2019-08-27","Valid",2.8000002,2.2849915,2.0027401,3.175706,2.8646567,3.2780566,3.3536587
"2019-08-28","Valid",3.1,2.522107,2.1664689,3.151489,4.0706406,3.4320498,3.5917726
"2019-08-29","Valid",2.6999998,2.57197,2.2552335,3.0727448,3.817154,3.4226549,3.5192213
"2019-08-30","Valid",2.2,2.4608083,2.1729116,2.9066863,3.4073114,3.405899,3.081243
"2019-08-31","Valid",1.8,2.4329944,2.1899042,2.983242,3.3076973,3.4043624,2.9234786
"2019-09-01","Valid",2.2,2.3639958,2.1354184,2.9496257,2.9210157,3.3673587,3.021368
"2019-09-02","Valid",2,2.2796524,2.067294,2.8867936,2.4952102,3.357947,2.9499753
"2019-09-03","Valid",1.8,2.1159036,1.9352462,2.653764,2.143591,3.274652,2.595035
"2019-09-04","Valid",1.9000001,1.9442661,1.8164971,2.3482385,1.9484386,3.2633271,2.568387
"2019-09-10","Valid",2.2,1.9291532,1.7997859,2.1996484,1.9302931,3.0448055,2.1924565
