"Site","RMSE_Calib","RMSE_Valid","NSE_Calib","NSE_Valid","MI_Calib","MI_Valid","multi_watershed"
"05412500",1.42508143142125,1.87226439232629,0.740278733277466,-0.340676850507357,0.351989813304408,0.368283308347354,"multi-watershed"
"05418400",1.4613318089671,1.66105961175795,0.62772194188339,0.484260949547785,0.374027620150878,0.442017546682849,"multi-watershed"
"05446500",0.952060949756655,0.530837066832887,0.394568980232066,0.0865029578178994,0.188266267979112,0.182977728102476,"multi-watershed"
"05447500",0.983153508737578,1.03524152296548,0.786256257890655,0.264907293606234,0.416405514020423,0.422421246712441,"multi-watershed"
"05455100",1.72654910535493,1.25375588724688,0.804653096835278,0.735584295102973,0.543038200735113,0.436336192705621,"multi-watershed"
"05457000",1.79733370026255,1.77158793658751,0.352290689506216,0.0936770568855528,0.182112676480808,0.337431806966601,"multi-watershed"
"05465500",1.4428800166285,1.34649931409941,0.750943434292097,0.602732913361114,0.391495796012675,0.309995261561942,"multi-watershed"
"05481000",3.25627659880159,3.31474329004803,0.816213693739954,0.581187857113493,0.432301106060905,0.566165427292506,"multi-watershed"
"05482000",2.2084436808913,2.73107458114335,0.710153252640572,0.0564433872964786,0.294152060590353,0.312945920014197,"multi-watershed"
"05482300",2.8855275340534,3.04220144369557,0.689061444923504,-0.47137407831001,0.279382052665609,0.221682041648451,"multi-watershed"
"05482500",2.97077824424255,3.45095798626254,0.783581678149908,0.0291518151907609,0.386941137430747,0.308147178626573,"multi-watershed"
"05484000",1.5427416670566,1.9077335275712,0.644207385847597,0.322658123415233,0.299741473346474,0.467280566561458,"multi-watershed"
"05484500",2.21235595061778,2.50288796511022,0.769970255147594,0.307570153548422,0.342553187451056,0.374915499605097,"multi-watershed"
"05515500",0.304491469093048,0.344792108545087,0.299561104386834,-0.621012908504613,0.19432816467329,0.162520785643485,"multi-watershed"
"05517500",0.576527889629196,0.609203559038407,0.496865635654905,0.418850233258521,0.295909332682726,0.360176633258781,"multi-watershed"
"05518000",0.530032726752922,0.477622978466741,0.476176703582663,0.488173472012329,0.311806865228295,0.410598628035908,"multi-watershed"
"05524500",1.45235775617112,1.13931941731233,0.623181327024772,0.7849164108168,0.288268062761884,0.388070896812912,"multi-watershed"
"05537980",1.12188357931698,1.59890444620225,0.164723984627107,-0.586879987451527,0.123176978237688,0.112467340003781,"multi-watershed"
"05595000",0.714462595564537,0.623143203607199,0.288128677146511,-0.0804060714840047,0.171813562253752,0.219931387973151,"multi-watershed"
"06481000",0.696686961374257,0.604986971249861,0.541671067952325,0.529679136242001,0.305030892342003,0.435686835985367,"multi-watershed"
"06808500",0.926899327365945,1.91278438323716,0.597974500165944,0.00667967519739332,0.288319333025429,0.378267703225316,"multi-watershed"
"06817000",1.43115350989376,1.39701335998351,0.720058558675903,-0.135110952367888,0.397487674888667,0.340103567119734,"multi-watershed"
"01408500",0.264819930701838,0.294097734138337,-1.03963399689182,-0.907669025235686,0.214615397556779,0.28483144682321,"multi-watershed bfs"
"01463500",0.195385108802776,0.260740730195849,-0.341350148012201,-1.07848654261174,0.108484653373083,0.231254550355293,"multi-watershed bfs"
"01646500",0.255109970768709,0.328979311007023,0.543256075651061,0.312278700985694,0.224845213426442,0.220253195667135,"multi-watershed bfs"
"03339000",1.29512181184139,1.63375112030061,0.731444805891791,0.639965143770237,0.348767085636174,0.40055868202704,"multi-watershed bfs"
"03346500",1.40060308273305,1.31790641632741,0.594920702680669,0.238876860895953,0.355350657049388,0.290124668280319,"multi-watershed bfs"
"04072150",0.960234966729475,1.51249860022614,0.614389721031814,-0.848546197108027,0.36787062459337,0.253110205295257,"multi-watershed bfs"
"04081000",0.45676215311094,0.674803141745358,0.362164062453889,-1.00456700440374,0.214370933490739,0.271854812208127,"multi-watershed bfs"
"05412500",1.37818526743896,2.27657989725706,0.757091149061822,-0.982236718918709,0.344718965953787,0.298829055970918,"multi-watershed bfs"
"05418400",1.28322737161382,2.02422126113223,0.712937196550697,0.234093870552615,0.428238303547344,0.471441413391454,"multi-watershed bfs"
"05446500",0.875997927946314,0.83583150173784,0.487444051161959,-1.26475962738186,0.201359968270164,0.200849834646325,"multi-watershed bfs"
"05447500",1.05865697918222,1.46054732880505,0.752165791622535,-0.463153910257056,0.399147843491415,0.394707834646849,"multi-watershed bfs"
